,instock,title,url,comment_amount,rating,price
297,True,iPhone 6S 16 GB,https://hepsiburada.com/iphone-6s-16-gb-p-TELCEPIPH6S16GO-N,1156.0,5.0,2999.0
304,True,iPhone X 64 GB,https://hepsiburada.com/iphone-x-64-gb-p-HBV000007PV9T,471.0,5.0,8549.0
305,True,Huawei P30 Pro 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p30-pro-128-gb-huawei-turkiye-garantili-p-HBV00000IMW15,154.0,4.0,8129.0
312,True,iPhone 7 Plus 128 GB,https://hepsiburada.com/iphone-7-plus-128-gb-p-HBV0000012S91,224.0,5.0,6469.0
315,True,Samsung Galaxy A7 2018 64 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a7-2018-64-gb-samsung-turkiye-garantili-p-HBV00000ED0R2,476.0,4.0,3199.0
317,True,iPhone XS 64 GB,https://hepsiburada.com/iphone-xs-64-gb-p-HBV00000E8OSK,236.0,5.0,8998.0
320,True,Vestel Venus E3 (Vestel Turkiye Garantili),https://hepsiburada.com/vestel-venus-e3-vestel-turkiye-garantili-p-HBV000009FI8V,357.0,4.0,2200.0
326,True,iPhone 6S 32 GB,https://hepsiburada.com/iphone-6s-32-gb-p-HBV0000017G28,1156.0,5.0,3999.9
327,True,Samsung Galaxy S10e 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s10e-128-gb-samsung-turkiye-garantili-p-HBV00000HBV72,305.0,5.0,5915.0
338,True,Tecno Camon 12 Air 64 GB (Tecno Turkiye Garantili),https://hepsiburada.com/tecno-camon-12-air-64-gb-tecno-turkiye-garantili-p-HBV00000SFNV4,184.0,5.0,2399.0
346,True,Huawei P20 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p20-128-gb-huawei-turkiye-garantili-p-HBV00000BAFY2,164.0,5.0,4300.0
354,True,Huawei Mate 10 Lite (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-mate-10-lite-huawei-turkiye-garantili-p-HBV0000093BZC,843.0,4.0,2599.0
359,True,Oppo Realme 5 Pro 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-5-pro-128-gb-realme-turkiye-garantili-p-HBV00000Q7KEL,237.0,5.0,3699.9
362,True,Oppo Realme 5 Pro 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-5-pro-128-gb-realme-turkiye-garantili-p-HBV00000Q7KEL,237.0,5.0,3699.9
363,True,Samsung Galaxy S9 Plus 64 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s9-plus-64-gb-samsung-turkiye-garantili-p-HBV00000AJRAV,388.0,5.0,5999.0
369,True,Samsung Galaxy J8 32 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-j8-32-gb-samsung-turkiye-garantili-p-HBV00000D5T4O,162.0,4.0,3229.0
373,True,Samsung Galaxy S10 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s10-128-gb-samsung-turkiye-garantili-p-HBV00000HCYMQ,163.0,5.0,6399.0
379,True,Asus Zenfone 3 Laser ZC551KL (Asus Turkiye Garantili),https://hepsiburada.com/asus-zenfone-3-laser-zc551kl-asus-turkiye-garantili-p-HBV0000035DSR,138.0,5.0,2300.0
388,True,Xiaomi Mi 9T 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-mi-9t-128-gb-xiaomi-turkiye-garantili-p-HBV00000KXK3B,336.0,5.0,4589.0
420,True,General Mobile GM8 32 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm8-32-gb-general-mobile-garantili-p-HBV00000GFAB4,372.0,4.0,1999.0
