instock,title,url,comment_amount,rating,price
True,HP Pavilion 14-CE3005NT Intel Core i7 1065G7 16GB 512GB SSD MX250 FreeDos 14" FHD Tasinabilir Bilgisayar 3H908EA,https://hepsiburada.com/hp-pavilion-14-ce3005nt-intel-core-i7-1065g7-16gb-512gb-ssd-mx250-freedos-14-fhd-tasinabilir-bilgisayar-3h908ea-p-HBV00000UFHWL,34,5.0,8799.0,
True,Asus FA506IU-BQ268 AMD Ryzen 9 4900H 16GB 512GB SSD GTX1660Ti Freedos 15.6" FHD Tasinabilir Bilgisayar,https://hepsiburada.com/asus-fa506iu-bq268-amd-ryzen-9-4900h-16gb-512gb-ssd-gtx1660ti-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBV00000V59SR,11,5.0,13999.0,
True,Lenovo ThinkPad E15G2 AMD Ryzen 7 4700U 8GB 512GB SSD Freedos 15.6" FHD Tasinabilir Bilgisayar 20T8001UTX,https://hepsiburada.com/lenovo-thinkpad-e15g2-amd-ryzen-7-4700u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-20t8001utx-p-HBV00000YA9A3,17,5.0,7199.0,
True,Casper Nirvana C350.4000-4C00E Intel Celeron N4000 4GB 120GB SSD Windows 10 Home 14" Tasinabilir Bilgisayar,https://hepsiburada.com/casper-nirvana-c350-4000-4c00e-intel-celeron-n4000-4gb-120gb-ssd-windows-10-home-14-tasinabilir-bilgisayar-p-HBV00000QHKER,48,5.0,3999.0,
True,Apple MacBook Air Intel Core i5 5350U 8GB 128GB SSD MacOS Sierra 13.3" Tasinabilir Bilgisayar MQD32TU/A,https://hepsiburada.com/apple-macbook-air-intel-core-i5-5350u-8gb-128gb-ssd-macos-sierra-13-3-tasinabilir-bilgisayar-mqd32tu-a-p-HBV000007I2J3,222,5.0,7989.0,
True,MSI GF75 Thin 9SCSR-432XTR Intel Core i7 9750H 16GB 1TB + 256GB SSD GTX 1650Ti 17.3" FHD Tasinabilir Bilgisayar,https://hepsiburada.com/msi-gf75-thin-9scsr-432xtr-intel-core-i7-9750h-16gb-1tb-256gb-ssd-gtx-1650ti-17-3-fhd-tasinabilir-bilgisayar-p-HBV00000YBPYZ,4,5.0,14895.54,
True,Asus D509DA-BR459T AMD Ryzen 3 3250U 4GB 256GB SSD Windows 10 Home 15.6" Tasinabilir Bilgisayar,https://hepsiburada.com/asus-d509da-br459t-amd-ryzen-3-3250u-4gb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-p-HBV00000YQNN0,3,5.0,5269.0,
True,Dell Inspiron 5401 Intel Core i3 1005G1 4GB 256GB SSD Ubuntu 14" FHD Tasinabilir Bilgisayar S05G1F4256N,https://hepsiburada.com/dell-inspiron-5401-intel-core-i3-1005g1-4gb-256gb-ssd-ubuntu-14-fhd-tasinabilir-bilgisayar-s05g1f4256n-p-HBV00000V3VVW,18,5.0,5499.0,
True,HP 15-DW2027NT Intel Core i3 1005G1 8GB 256 GB SSD Freedos 15.6" Tasinabilir Bilgisayar 235Q8EA,https://hepsiburada.com/hp-15-dw2027nt-intel-core-i3-1005g1-8gb-256-gb-ssd-freedos-15-6-tasinabilir-bilgisayar-235q8ea-p-HBV00000YHADB,4,5.0,5589.0,
True,I-Life ZED Air CX5 Intel Core i5 5257U 4GB 256GB SSD Windows 10 Home 15.6" FHD Tasinabilir Bilgisayar IL.1506X.4256G.GWI5TKS,https://hepsiburada.com/i-life-zed-air-cx5-intel-core-i5-5257u-4gb-256gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-il-1506x-4256g-gwi5tks-p-HBV00000XY3S4,4,4.0,4499.0,
