instock,title,url,comment_amount,rating,price
True,General Mobile GM9 Go 16 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm9-go-16-gb-general-mobile-garantili-p-HBV00000KJE29,108,5.0,1499.0,
True,Nokia 210 (Ithalatci Garantili),https://hepsiburada.com/nokia-210-ithalatci-garantili-p-HBV00000PWRIR,38,4.0,280.0,
True,iPhone SE 128 GB,https://hepsiburada.com/iphone-se-128-gb-p-HBV00000SXR4E,146,5.0,5299.9,
True,iPhone SE 64 GB,https://hepsiburada.com/iphone-se-64-gb-p-HBV00000SXR4A,462,5.0,4949.9,
True,Samsung Galaxy Note 10 Lite 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-note-10-lite-128-gb-samsung-turkiye-garantili-p-HBV00000QXQIK,819,5.0,4699.9,
True,General Mobile GM 20 64 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm-20-64-gb-general-mobile-garantili-p-HBV00000WJCAK,63,5.0,1899.89,
True,Huawei Y7 2019 Dual Sim 32 GB (Ithalatci Garantili),https://hepsiburada.com/huawei-y7-2019-dual-sim-32-gb-ithalatci-garantili-p-HBV00000P432T,81,4.0,1799.0,
True,Xiaomi Redmi Note 9S 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9s-64-gb-xiaomi-turkiye-garantili-p-HBV00000TC9H7,134,5.0,2929.9,
True,Nokia 216 (Ithalatci Garantili),https://hepsiburada.com/nokia-216-ithalatci-garantili-p-HBV00000BGHM8,30,4.0,285.0,
True,Xiaomi Redmi Note 8 Pro 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-pro-128-gb-xiaomi-turkiye-garantili-p-HBV00000NRZLK,1960,5.0,3299.91,
True,Xiaomi Redmi 8A 32 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-8a-32-gb-xiaomi-turkiye-garantili-p-HBV00000NSBXO,920,5.0,2068.0,
True,Oppo Reno2 Z 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-reno2-z-128-gb-oppo-turkiye-garantili-p-HBV00000NS6NA,604,5.0,3199.9,
True,General Mobile GM 20 Pro 128 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm-20-pro-128-gb-general-mobile-garantili-p-HBV00000WJCAP,58,5.0,2259.9,
True,iPhone 11 128 GB,https://hepsiburada.com/iphone-11-128-gb-p-HBV00000NSB66,418,5.0,8329.9,
True,Xiaomi Redmi Note 8 Pro 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-pro-64-gb-xiaomi-turkiye-garantili-p-HBV00000P3T2Y,2298,5.0,3029.9,
True,Oppo Realme 6 128 GB 8 GB RAM (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-6-128-gb-8-gb-ram-realme-turkiye-garantili-p-HBV00000UPE0F,148,5.0,3399.0,
True,Samsung Galaxy Note 20 Ultra 256 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-note-20-ultra-256-gb-samsung-turkiye-garantili-p-HBV00000VSFWG,17,4.0,11899.9,
True,Yenilenmis NOKIA 112 (24 Ay Garantili),https://hepsiburada.com/yenilenmis-nokia-112-24-ay-garantili-p-HBV00000RTWOM,20,4.0,210.0,
True,Oppo Realme 6 Pro 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-6-pro-128-gb-realme-turkiye-garantili-p-HBV00000SKNP4,173,5.0,3499.9,
True,iPhone 8 Plus 128 GB,https://hepsiburada.com/iphone-8-plus-128-gb-p-HBV00000NGYZS,123,5.0,6249.91,
True,POCO X3 NFC 128 GB (POCO Turkiye Garantili),https://hepsiburada.com/poco-x3-nfc-128-gb-poco-turkiye-garantili-p-HBV00000ZKOXT,1,4.0,3799.0,
True,Xiaomi Redmi Note 9 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9-64-gb-xiaomi-turkiye-garantili-p-HBV00000UGU48,155,5.0,2679.9,
True,Vestel Venus Go 8 GB (Vestel Garantili),https://hepsiburada.com/vestel-venus-go-8-gb-vestel-garantili-p-HBV00000ECGNI,33,4.0,1129.0,
True,Samsung Galaxy A11 32 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a11-32-gb-samsung-turkiye-garantili-p-HBV00000VGTO2,10,5.0,2270.0,
True,iPhone XR 64 GB,https://hepsiburada.com/iphone-xr-64-gb-p-HBV00000E8OSZ,305,5.0,6549.9,
True,Xiaomi Mi Note 10 Lite 128 GB 8 GB Ram (Xiaomi Turkiye Garantiili),https://hepsiburada.com/xiaomi-mi-note-10-lite-128-gb-8-gb-ram-xiaomi-turkiye-garantiili-p-HBV00000VSGMN,69,5.0,4179.0,
True,Huawei P Smart S 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p-smart-s-128-gb-huawei-turkiye-garantili-p-HBV00000UPOUF,16,5.0,2480.0,
True,Oppo Reno 4 Lite 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-reno-4-lite-128-gb-oppo-turkiye-garantili-p-HBV00000XJSW9,8,5.0,3499.9,
True,Samsung Galaxy A21s 64 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a21s-64-gb-samsung-turkiye-garantili-p-HBV00000V3WE7,48,5.0,2689.0,
True,Reeder P13 Max Blue 64 GB (Reeder Turkiye Garantili),https://hepsiburada.com/reeder-p13-max-blue-64-gb-reeder-turkiye-garantili-p-HBV00000VGO8P,9,4.0,1798.0,
True,Nokia 3310 3G (Nokia Turkiye Garantili),https://hepsiburada.com/nokia-3310-3g-nokia-turkiye-garantili-p-HBV00000J2NWP,10,3.0,479.0,
True,Huawei P30 Lite 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p30-lite-128-gb-huawei-turkiye-garantili-p-HBV00000KKI6I,800,5.0,2899.9,
True,iPhone 11 Pro Max 64 GB,https://hepsiburada.com/iphone-11-pro-max-64-gb-p-HBV00000NSB6V,109,5.0,12449.9,
True,Samsung Galaxy A51 2020 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a51-2020-128-gb-samsung-turkiye-garantili-p-HBV00000Q7L4Z,1456,5.0,3439.0,
True,Nokia 216 Dual Sim (Ithalatci Garantili),https://hepsiburada.com/nokia-216-dual-sim-ithalatci-garantili-p-HBV00000BGHMA,82,3.0,305.0,
True,Samsung Galaxy A01 16 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a01-16-gb-samsung-turkiye-garantili-p-HBV00000R6F0L,211,5.0,1939.0,
True,Samsung Galaxy A71 2020 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a71-2020-128-gb-samsung-turkiye-garantili-p-HBV00000RC5SP,985,5.0,3999.0,
True,Meizu M10 32 GB (Meizu Turkiye Garantili),https://hepsiburada.com/meizu-m10-32-gb-meizu-turkiye-garantili-p-HBV00000Q7L6M,42,5.0,1799.89,
True,Samsung Galaxy S20 Plus 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s20-plus-128-gb-samsung-turkiye-garantili-p-HBV00000QW67F,173,5.0,7899.9,
True,Huawei P Smart Pro 128 GB 2019 (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p-smart-pro-128-gb-2019-huawei-turkiye-garantili-p-HBV00000QHJ7L,37,5.0,2869.9,
True,General Mobile GM9 Plus 32 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm9-plus-32-gb-general-mobile-garantili-p-HBV00000TBK10,17,5.0,1799.0,
True,General Mobile GM10 64 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm10-64-gb-general-mobile-garantili-p-HBV00000WCWQH,29,5.0,1850.0,
True,iPhone 11 256 GB,https://hepsiburada.com/iphone-11-256-gb-p-HBV00000NSB6E,68,5.0,8529.9,
True,Huawei P40 Lite E 64 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p40-lite-e-64-gb-huawei-turkiye-garantili-p-HBV00000TBK1N,23,4.0,2525.0,
True,iPhone 11 Pro 64 GB,https://hepsiburada.com/iphone-11-pro-64-gb-p-HBV00000NSB60,86,5.0,11199.9,
True,Samsung Galaxy Grand Prime Plus G532 (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-grand-prime-plus-g532-samsung-turkiye-garantili-p-HBV000001YEI3,225,4.0,1499.99,
True,Xiaomi Redmi 8 32 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-8-32-gb-xiaomi-turkiye-garantili-p-HBV00000OGLES,547,5.0,2215.0,
True,Xiaomi Redmi 9A 32 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-9a-32-gb-xiaomi-turkiye-garantili-p-HBV00000X8S3V,4,5.0,2067.52,
True,Xiaomi Redmi Note 9 64 GB (Ithalatci Garantili),https://hepsiburada.com/xiaomi-redmi-note-9-64-gb-ithalatci-garantili-p-HBV00000VSFX4,4,5.0,2549.0,
